reg;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;ps12mois;ps12mois_inf;ps12mois_sup
53;Vague 18 : 23-25 nov.;17,6;11,1;26,8;17,2;11,2;25,6;64,0;54,4;72,5;;;
75;Vague 18 : 23-25 nov.;15,3;10,9;21,2;21,7;16,3;28,4;66,1;59,0;72,5;;;
76;Vague 18 : 23-25 nov.;18,6;13,3;25,3;25,5;19,4;32,6;62,8;55,2;69,9;;;
84;Vague 18 : 23-25 nov.;15,9;11,7;21,3;21,9;17,1;27,7;61,6;55,3;67,6;;;
93;Vague 18 : 23-25 nov.;25,8;19,3;33,5;23,6;17,5;31,0;63,9;55,9;71,3;;;
11;Vague 19 : 14-16 dec..;16,7;13,2;21,0;21,9;17,8;26,6;66,1;60,9;70,9;;;
24;Vague 19 : 14-16 dec..;15,9;9,9;24,5;20,2;13,4;29,3;58,7;48,4;68,3;;;
27;Vague 19 : 14-16 dec..;19,4;12,3;29,2;23,2;15,4;33,5;68,4;57,5;77,6;;;
28;Vague 19 : 14-16 dec..;27,9;19,9;37,6;29,6;21,4;39,3;66,3;56,3;75,0;;;
32;Vague 19 : 14-16 dec..;29,0;23,1;35,8;22,3;17,1;28,6;72,1;65,5;77,9;;;
44;Vague 19 : 14-16 dec..;19,8;14,6;26,4;21,5;16,0;28,3;65,9;58,4;72,8;;;
52;Vague 19 : 14-16 dec..;17,3;11,6;25,1;15,0;9,5;22,7;65,8;56,8;73,8;;;
53;Vague 19 : 14-16 dec..;14,8;9,3;22,6;8,7;4,7;15,6;54,4;44,8;63,6;;;
75;Vague 19 : 14-16 dec..;15,6;11,1;21,4;21,0;15,8;27,4;69,9;62,9;76,1;;;
76;Vague 19 : 14-16 dec..;23,6;17,9;30,4;26,3;20,2;33,5;67,1;59,8;73,6;;;
84;Vague 19 : 14-16 dec..;22,6;17,7;28,5;15,0;10,9;20,1;69,2;62,9;74,9;;;
93;Vague 19 : 14-16 dec..;20,2;14,5;27,4;19,6;14,1;26,6;60,3;52,2;67,9;;;
11;Vague 20 : 18-20 janv.;21,1;17,0;25,9;18,0;14,2;22,5;70,0;64,8;74,7;;;
24;Vague 20 : 18-20 janv.;13,6;8,0;22,4;18,4;11,4;28,3;66,0;55,1;75,5;;;
27;Vague 20 : 18-20 janv.;19,2;12,4;28,7;9,3;5,0;16,7;65,2;54,7;74,4;;;
28;Vague 20 : 18-20 janv.;22,7;15,7;31,5;23,6;16,5;32,6;75,1;66,0;82,4;;;
32;Vague 20 : 18-20 janv.;20,0;15,0;26,2;19,0;14,0;25,1;64,8;57,6;71,3;;;
44;Vague 20 : 18-20 janv.;19,3;14,1;26,0;25,0;19,1;32,1;69,6;62,3;76,0;;;
52;Vague 20 : 18-20 janv.;22,8;16,3;31,4;27,3;20,0;36,1;72,3;63,7;79,6;;;
53;Vague 20 : 18-20 janv.;22,7;15,9;31,4;22,6;15,6;31,6;67,8;58,4;76,0;;;
75;Vague 20 : 18-20 janv.;17,8;12,8;24,3;22,7;17,1;29,6;67,0;59,8;73,5;;;
76;Vague 20 : 18-20 janv.;19,0;13,8;25,7;15,9;11,2;22,3;64,2;56,6;71,1;;;
84;Vague 20 : 18-20 janv.;14,7;10,9;19,6;16,3;12,2;21,5;59,0;52,6;65,1;;;
