age;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;hyg4mes;hyg4mes_inf;hyg4mes_sup;dist3mes;dist3mes_inf;dist3mes_sup;nbmoy7mes;nbmoy7mes_inf;nbmoy7mes_sup;nbmoy4mesHyg;nbmoy4mesHyg_inf;nbmoy4mesHyg_sup;dist1m;dist1m_inf;dist1m_sup;portmasque;portmasque_inf;portmasque_sup;;;
25-34 ans;Vague 6 : 4-6 mai;20,3;16,2;25,1;20,1;16,1;24,9;72,7;67,5;77,3;44,0;38,6;49,5;53,5;47,9;59,0;5,18;4,97;5,39;2,95;2,82;3,08;;;;33,4;28,4;38,8;;;
35-49 ans;Vague 6 : 4-6 mai;20,6;17,3;24,3;19,3;16,0;22,9;71,1;67,0;74,8;46,9;42,6;51,2;54,8;50,5;59,1;5,22;5,05;5,39;2,97;2,86;3,08;;;;35,1;31,1;39,4;;;
50-64 ans;Vague 6 : 4-6 mai;16,0;13,1;19,4;17,5;14,5;21,0;62,8;58,6;66,8;48,2;44,0;52,5;57,8;53,5;61,9;5,29;5,12;5,45;2,95;2,84;3,06;;;;38,3;34,2;42,5;;;
65 ans et plus;Vague 6 : 4-6 mai;14,6;11,7;18,1;15,5;12,5;19,1;57,4;52,9;61,8;39,8;35,4;44,3;64,9;60,5;69,1;5,39;5,24;5,54;2,90;2,79;3,00;;;;48,7;44,2;53,2;;;
18-24 ans;Vague 7 : 13-15 mai;23,1;17,3;30,0;20,1;14,8;26,8;69,0;61,3;69,0;36,1;29,2;43,8;;;;;;;2,70;2,51;2,89;63,3;55,7;70,4;42,7;35,4;50,3;;;
25-34 ans;Vague 7 : 13-15 mai;22,0;17,3;27,6;11,5;8,2;15,8;72,0;66,2;72,0;37,3;31,5;43,4;;;;;;;2,72;2,56;2,88;57,1;50,9;63,1;41,5;35,6;47,8;;;
35-49 ans;Vague 7 : 13-15 mai;18,4;15,1;22,1;18,2;15,0;22,0;70,7;66,4;70,7;43,8;39,4;48,3;;;;;;;2,93;2,81;3,04;67,3;62,9;71,4;44,3;39,9;48,8;;;
50-64 ans;Vague 7 : 13-15 mai;15,0;12,2;18,4;13,9;11,2;17,2;68,8;64,6;68,8;47,5;43,2;51,9;;;;;;;3,01;2,90;3,11;70,6;66,5;74,5;45,7;41,4;50,1;;;
65 ans et plus;Vague 7 : 13-15 mai;14,3;11,5;17,6;9,1;6,9;11,9;57,7;53,4;57,7;43,6;39,4;47,9;;;;;;;2,93;2,83;3,03;79,9;76,2;83,1;53,3;48,9;57,6;;;
18-24 ans;Vague 8 : 18-20 mai;22,8;17,0;29,8;14,4;9,9;20,6;72,0;64,5;78,4;30,3;23,7;37,8;;;;;;;2,60;2,41;2,78;55,5;47,8;63,0;45,9;38,4;53,6;;;
25-34 ans;Vague 8 : 18-20 mai;20,9;16,6;26,0;12,5;9,2;16,8;71,0;65,5;76,0;43,2;37,6;49,0;;;;;;;2,81;2,66;2,96;58,7;52,9;64,2;46,6;40,9;52,4;;;
35-49 ans;Vague 8 : 18-20 mai;23,7;30,2;27,6;16,1;13,2;20,0;67,9;63,8;71,8;43,8;39,5;48,1;;;;;;;2,91;2,80;3,02;63,1;58,8;67,2;50,4;46,1;54,7;;;
50-64 ans;Vague 8 : 18-20 mai;12,7;10,1;25,8;12,8;10,2;15,9;59,4;55,6;63,7;44,7;40,4;49,2;;;;;;;2,88;2,76;2,99;68,8;64,5;72,7;49,0;44,6;53,4;;;
65 ans et plus;Vague 8 : 18-20 mai;9,0;6,8;11,9;5,7;4,0;8,1;51,7;47,3;56,2;39,5;35,3;44,0;;;;;;;2,83;2,72;2,94;75,5;71,4;79,1;60,5;56,1;64,8;;;
18-24 ans;Vague 9 : 27-29 mai;18,5;13,3;25,8;11,7;7,3;18,2;73,9;66,5;80,2;37,7;30,1;45,8;;;;;;;2,83;2,63;3,03;56,8;48,7;64,5;55,7;47,6;63,5;;;
25-34 ans;Vague 9 : 27-29 mai;19,9;15,6;25,0;14,6;10,9;19,3;71,6;66,0;76,6;34,3;29,0;40,1;;;;;;;2,64;2,49;2,80;50,4;44,5;56,3;44,2;38,5;50,1;;;
35-49 ans;Vague 9 : 27-29 mai;22,1;18,8;25,9;15,5;12,7;18,9;70,6;66,6;74,4;48,6;44,3;52,8;;;;;;;2,98;2,88;3,09;66,1;61,9;70,0;54,5;50,2;58,7;;;
50-64 ans;Vague 9 : 27-29 mai;12,9;10,3;16,0;11,1;8,6;14,1;62,7;58,4;66,8;43,1;38,9;47,3;;;;;;;2,85;2,74;2,97;68,1;64,0;72,0;51,8;47,4;56,0;;;
65 ans et plus;Vague 9 : 27-29 mai;11,2;8,6;14,3;8,8;6,5;11,7;58,3;53,9;62,7;40,5;36,3;45,0;;;;;;;2,86;2,75;2,97;75,6;71,5;79,2;61,1;56,7;65,4;;;
18-24 ans;Vague 10 : 8-10 juin;23,4;17,3;30,8;11,8;7,5;17,9;77,1;69,7;83,2;30,0;23,2;37,8;;;;;;;2,52;2,31;2,72;45,4;37,6;53,4;53,5;45,5;61,3;;;
25-34 ans;Vague 10 : 8-10 juin;16,2;12,3;21,1;11,2;8,0;15,5;66,2;60,4;71,6;34,3;28,9;40,1;;;;;;;2,56;2,40;2,73;52,8;46,8;58,7;46,7;40,8;52,7;;;
35-49 ans;Vague 10 : 8-10 juin;20,9;17,7;24,6;14,9;12,2;18,2;68,4;64,3;72,1;36,7;32,7;40,8;;;;;;;2,64;2,53;2,76;53,1;48,9;57,3;45,1;41,0;49,3;;;
50-64 ans;Vague 10 : 8-10 juin;14,6;11,9;17,8;11,6;9,1;14,6;64,4;60,2;68,3;39,2;35,2;43,4;;;;;;;2,71;2,59;2,82;60,5;56,3;64,5;47,3;43,2;51,6;;;
65 ans et plus;Vague 10 : 8-10 juin;8,7;6,5;11,6;7,4;5,4;10,1;53,9;49,4;58,4;38,9;34,6;43,4;;;;;;;2,73;2,62;2,85;69,4;65,1;73,4;56,5;51,9;60,9;;;
18-24 ans;Vague 11 : 22-24 juin;19,5;14,3;26,1;12,9;8,6;18,9;67,3;59,8;73,9;30,9;24,3;38,4;;;;;;;2,42;2,21;2,63;45,6;38,2;53,2;54,9;47,3;62,3;;;
25-34 ans;Vague 11 : 22-24 juin;21,6;17,2;26,8;16,9;13,0;21,8;69,4;63,8;74,5;31,2;26,1;36,8;;;;;;;2,41;2,24;2,57;46,1;40,5;51,9;47,2;41,5;53,0;;;
35-49 ans;Vague 11 : 22-24 juin;17,1;14,1;20,6;13,2;10,5;16,4;65,1;60,9;69,1;39,7;35,6;43,9;;;;;;;2,70;2,59;2,82;51,2;46,9;55,4;48,2;43,9;52,5;;;
50-64 ans;Vague 11 : 22-24 juin;11,9;9,4;15,0;8,8;6,6;11,6;61,8;57,4;65,9;38,9;34,7;43,2;;;;;;;2,75;2,64;2,86;59,7;55,3;63,9;49,8;45,4;54,2;;;
65 ans et plus;Vague 11 : 22-24 juin;10,1;7,8;13,2;7,0;5,0;9,6;53,1;48,6;57,5;34,1;30,0;38,5;;;;;;;2,63;2,51;2,74;62,6;58,2;66,9;62,1;57,7;66,4;;;
18-24 ans;Vague 12 : 6-8 juillet;31,5;24,5;39,5;12,0;7,5;18,4;69,2;61,4;75,9;20,0;14,2;27,4;;;;;;;2,31;2,11;2,52;32,2;25,2;40,1;43,8;36,1;51,8;;;
