,reg,semaine,anxiete,anxiete_inf,anxiete_sup,depression,depression_inf,depression_sup,pbsommeil,pbsommeil_inf,pbsommeil_sup,ps12mois,ps12mois_inf,ps12mois_sup,Libellé,vague,date
39,24,Vague 12 : 6-8 juillet,19.7,12.3,30.1,8.4,4.2,16.1,64.3,53.6,73.7,,,,Centre-Val de Loire,12, 6-8 juillet
40,24,Vague 13 : 20-22 juillet,11.7,6.4,20.5,11.7,6.3,20.7,68.9,58.0,78.1,,,,Centre-Val de Loire,13, 20-22 juillet
41,24,Vague 14 : 24-26 août,14.6,8.6,23.8,13.4,7.4,23.0,57.5,46.5,67.8,,,,Centre-Val de Loire,14, 24-26 août
42,24,Vague 15 : 21-23 sept.,18.2,11.5,27.7,10.5,5.6,18.6,69.3,58.5,78.3,,,,Centre-Val de Loire,15, 21-23 sept.
43,24,Vague 16 : 19-21 oct.,13.2,7.4,22.6,12.3,6.6,21.8,63.2,52.3,72.9,,,,Centre-Val de Loire,16, 19-21 oct.
44,24,Vague 17 : 4-6 nov.,14.5,8.6,23.5,18.3,11.4,27.9,69.6,59.1,78.4,,,,Centre-Val de Loire,17, 4-6 nov.
45,24,Vague 18 : 23-25 nov.,15.4,9.4,24.1,17.3,10.9,26.3,70.1,59.7,78.7,,,,Centre-Val de Loire,18, 23-25 nov.
46,24,Vague 19 : 14-16 dec..,15.9,9.9,24.5,20.2,13.4,29.3,58.7,48.4,68.3,,,,Centre-Val de Loire,19, 14-16 dec..
47,24,Vague 20 : 18-20 janv.,13.6,8.0,22.4,18.4,11.4,28.3,66.0,55.1,75.5,,,,Centre-Val de Loire,20, 18-20 janv.
48,24,Vague 21 : 15-17 fév,23.7,15.6,34.3,23.6,15.7,34.0,72.9,62.2,81.5,9.5,4.8,18.1,Centre-Val de Loire,21, 15-17 fév
49,24,Vague 22 : 15-17 mars,20.3,12.7,30.7,22.3,14.4,32.9,65.0,53.8,74.8,8.8,4.2,17.5,Centre-Val de Loire,22, 15-17 mars
50,24,Vague 23 : 21-23 avril,13.8,7.7,23.4,16.2,9.8,25.7,66.9,55.9,76.4,4.9,1.8,12.4,Centre-Val de Loire,23, 21-23 avril
51,24,Vague 24 : 17-19 mai,20.9,13.2,31.3,14.2,8.1,23.9,60.1,49.1,70.2,9.0,4.2,18.0,Centre-Val de Loire,24, 17-19 mai
52,24,Vague 25 : 21-28 juin,20.3,12.9,30.4,14.6,8.4,24.2,70.1,59.5,78.9,9.0,4.5,17.2,Centre-Val de Loire,25, 21-28 juin
53,24,Vague 26 : 15-21 juillet,17.2,10.6,26.6,11.1,6.1,19.6,59.1,48.6,68.9,7.6,3.6,15.2,Centre-Val de Loire,26, 15-21 juillet
54,24,Vague 27 : 31 août-7 sept.,25.1,16.9,35.4,22.0,14.4,32.3,63.0,52.3,72.6,8.2,3.9,16.3,Centre-Val de Loire,27, 31 août-7 sept.
55,24,Vague 28 : 28 sept.-5 oct.,24.1,16.3,34.3,10.2,5.4,18.5,64.8,54.1,74.2,13.7,7.7,23.0,Centre-Val de Loire,28, 28 sept.-5 oct.
56,27,Vague 1 : 23-25 mars,33.0,24.1,43.3,,,,,,,,,,Bourgogne-Franche-Comté,1,23-25 mars
57,27,Vague 2 : 30 mars-1 avr,17.6,10.9,27.3,17.8,11.1,27.2,55.0,44.6,65.1,,,,Bourgogne-Franche-Comté,2,30 mars-1 avr
58,27,Vague 3 : 14-16 avr,17.5,11.0,26.7,18.0,11.3,27.5,61.4,51.1,70.8,,,,Bourgogne-Franche-Comté,3,14-16 avr
59,27,Vague 4 : 20-22 avr,18.9,12.2,28.0,21.8,14.5,31.2,65.3,65.3,74.2,,,,Bourgogne-Franche-Comté,4,20-22 avr
60,27,Vague 5 : 28-30 avr,15.9,9.9,24.6,22.3,15.0,32.0,70.0,60.1,78.4,,,,Bourgogne-Franche-Comté,5,28-30 avr
61,27,Vague 6 : 4-6 mai,20.7,13.4,30.6,15.8,9.6,25.0,72.6,62.2,80.9,,,,Bourgogne-Franche-Comté,6,4-6 mai
62,27,Vague 7 : 13-15 mai,17.7,10.8,27.6,10.4,5.7,18.2,73.0,63.1,81.0,,,,Bourgogne-Franche-Comté,7,13-15 mai
63,27,Vague 8 : 18-20 mai,20.6,13.8,29.7,9.5,5.1,16.8,61.1,51.1,70.3,,,,Bourgogne-Franche-Comté,8,18-20 mai
64,27,Vague 9 : 27-29 mai,15.3,8.9,25.3,10.4,5.3,19.5,70.5,59.6,79.5,,,,Bourgogne-Franche-Comté,9,27-29 mai
